Landmark,Frame,X,Y
375,29.0,426,297
291,1.0,432,297
291,2.0,432,298
291,3.0,432,296
291,4.0,432,296
291,5.0,432,297
291,6.0,432,297
291,7.0,432,297
291,8.0,432,299
291,9.0,432,299
291,10.0,432,298
291,11.0,433,299
291,12.0,434,299
291,13.0,435,297
291,14.0,434,296
291,15.0,435,295
291,16.0,434,295
291,17.0,436,293
291,18.0,434,293
291,19.0,436,292
291,20.0,436,292
291,21.0,436,292
291,22.0,436,292
291,23.0,435,292
291,24.0,435,292
291,25.0,431,292
291,26.0,431,291
291,27.0,430,291
291,28.0,430,291
291,29.0,430,291
61,1.0,332,301
61,2.0,333,304
61,3.0,331,302
61,4.0,331,303
61,5.0,331,303
61,6.0,331,303
61,7.0,332,302
61,8.0,333,304
61,9.0,332,304
61,10.0,332,304
61,11.0,331,304
61,12.0,331,304
61,13.0,332,303
61,14.0,331,302
61,15.0,333,299
61,16.0,332,299
61,17.0,333,297
61,18.0,333,297
61,19.0,334,296
61,20.0,335,296
61,21.0,335,296
61,22.0,335,296
61,23.0,335,296
61,24.0,334,295
61,25.0,333,295
61,26.0,333,294
61,27.0,332,294
61,28.0,332,294
61,29.0,333,294
185,1.0,336,294
185,2.0,337,296
185,3.0,335,294
185,4.0,335,295
185,5.0,335,294
185,6.0,335,295
185,7.0,336,293
185,8.0,337,295
185,9.0,336,295
185,10.0,336,295
185,11.0,335,296
185,12.0,336,296
185,13.0,337,295
185,14.0,336,294
185,15.0,337,292
185,16.0,336,291
185,17.0,337,290
185,18.0,337,289
185,19.0,339,288
185,20.0,339,288
185,21.0,339,288
185,22.0,339,288
185,23.0,339,288
185,24.0,338,287
185,25.0,336,288
185,26.0,337,287
185,27.0,335,288
185,28.0,336,288
185,29.0,336,288
40,1.0,343,288
40,2.0,344,290
40,3.0,342,288
40,4.0,342,288
40,5.0,342,288
40,6.0,342,288
40,7.0,342,287
40,8.0,343,289
40,9.0,343,289
40,10.0,343,289
40,11.0,343,290
40,12.0,343,290
40,13.0,344,289
40,14.0,343,288
40,15.0,345,286
40,16.0,344,286
40,17.0,345,284
40,18.0,345,283
40,19.0,346,282
40,20.0,346,282
40,21.0,346,282
40,22.0,346,282
40,23.0,347,282
40,24.0,346,282
40,25.0,343,282
40,26.0,344,281
40,27.0,342,282
40,28.0,343,282
40,29.0,343,283
39,1.0,353,281
39,2.0,354,283
39,3.0,351,281
39,4.0,351,281
