Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90
4,354,249,352,248,352,248,352,251,352,251,353,251,353,250,353,250,353,249,352,249,352,249,352,249,352,249,352,249,352,249,351,249,352,248,351,248,353,246,352,247,352,246,352,246,351,245,352,245,351,244,351,244,351,244,351,244,351,242,352,243,351,243,351,243,350,242,351,243,351,244,351,243,349,244,350,244,349,244,349,244,349,244,350,244,350,243,351,244,349,241,350,242,349,241,349,241,349,241,349,241,349,242,349,242,350,243,349,243,348,243
61,302,334,303,334,302,335,302,336,302,337,303,337,303,336,303,337,302,335,303,335,303,335,303,335,303,335,303,335,303,335,303,335,302,335,302,335,304,336,304,336,302,335,302,336,301,337,302,336,302,336,302,337,302,336,303,337,303,335,304,335,303,335,302,336,303,336,304,337,305,337,305,338,303,337,304,337,302,337,302,337,302,338,303,338,303,338,302,337,302,335,302,335,301,334,302,334,302,333,302,333,300,333,301,332,301,331,302,332,301,331
146,307,340,308,340,307,341,307,342,307,343,308,343,308,342,308,343,307,341,308,341,308,341,308,341,307,341,307,341,307,341,308,341,307,341,307,341,308,343,308,344,306,345,306,346,306,346,306,345,306,345,306,345,307,344,307,345,307,344,308,344,307,345,306,346,307,346,307,346,309,347,309,347,307,347,307,347,306,348,306,348,306,347,306,348,307,346,306,346,307,345,306,345,305,344,306,343,306,343,306,343,305,342,305,341,306,339,306,340,305,338
91,315,347,316,347,314,348,314,348,314,349,315,349,315,348,315,349,315,348,315,347,315,348,315,348,315,348,314,348,315,347,315,347,314,347,314,347,315,351,315,352,313,355,313,355,313,355,313,354,313,354,313,354,314,353,314,353,314,352,314,353,313,355,313,356,313,356,314,356,315,357,315,357,313,357,313,358,312,358,312,358,312,357,313,359,313,356,312,356,313,354,313,354,312,353,312,353,313,352,313,352,312,351,312,349,313,347,313,347,312,345
181,326,354,327,354,325,356,325,356,325,356,326,356,327,355,326,356,326,355,326,355,326,355,326,355,326,355,326,355,326,355,326,355,325,354,325,355,326,360,326,360,324,365,324,364,324,365,324,364,324,363,324,363,325,361,325,362,325,362,325,363,324,365,323,366,323,366,324,367,325,368,325,368,323,368,324,369,323,370,323,370,323,368,323,370,324,366,323,367,323,365,323,365,323,364,323,363,323,363,323,363,323,360,323,359,324,355,324,356,323,353
84,341,359,342,359,340,361,340,361,340,361,342,361,342,360,341,361,341,360,341,359,341,360,341,360,341,360,340,360,340,360,340,359,340,359,340,359,341,365,341,366,340,372,339,371,339,371,339,371,339,369,339,370,340,367,340,368,340,368,340,369,339,372,338,373,338,373,339,374,340,375,340,375,338,375,338,376,338,377,338,377,338,375,338,377,338,372,338,374,338,372,338,372,338,371,338,370,338,369,338,370,338,366,338,365,339,361,339,362,338,358
17,359,360,360,360,358,362,358,361,358,362,359,361,359,360,359,361,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,357,359,357,360,359,366,359,367,359,373,358,372,358,372,358,372,358,371,358,371,358,368,358,369,358,369,359,370,357,374,357,375,356,375,357,375,358,376,358,377,357,377,357,378,356,379,356,379,356,377,357,379,357,374,356,376,357,373,357,373,357,372,357,371,357,371,357,371,357,368,357,366,357,362,357,363,356,359
314,376,357,377,357,376,359,375,359,375,359,376,358,376,358,376,358,376,357,376,357,376,358,375,358,375,358,375,358,375,357,375,357,374,357,374,357,377,363,376,364,377,370,376,368,376,369,376,368,376,367,376,367,376,365,376,366,376,365,376,367,375,370,376,371,374,371,375,372,376,373,376,373,375,373,376,374,375,375,375,375,374,373,375,375,375,370,375,372,375,370,376,370,375,368,375,367,376,367,376,367,375,364,375,363,375,359,375,359,373,355
405,390,350,391,350,390,352,389,352,389,352,391,352,391,351,390,352,390,351,390,351,390,351,389,351,389,351,389,351,389,351,389,351,388,350,389,351,391,355,390,356,391,361,390,360,390,361,390,360,390,359,390,359,390,357,390,358,390,357,390,359,389,362,390,362,388,363,389,363,390,364,390,364,389,364,389,365,389,365,389,366,388,364,389,366,389,362,388,363,389,361,390,361,389,359,389,358,389,358,390,358,389,356,389,355,389,351,389,352,387,348
321,401,341,401,341,401,343,399,343,400,343,401,343,401,343,400,343,400,342,400,342,400,342,400,342,399,342,399,342,399,342,399,342,399,342,399,342,400,345,399,346,401,349,400,349,400,350,400,349,400,348,400,348,399,347,399,347,399,347,399,348,398,350,398,351,397,351,398,352,398,352,398,352,398,352,398,353,398,353,398,353,397,352,398,354,398,351,397,352,398,349,398,349,398,348,398,347,399,346,399,347,399,345,399,344,399,341,399,342,397,339
