Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90
4,285,260,281,259,282,259,282,259,282,259,282,259,281,259,280,259,280,260,280,260,279,261,279,261,279,262,279,262,279,262,280,262,279,262,279,262,278,262,277,263,278,262,277,263,277,261,276,263,276,262,276,262,276,263,275,263,275,264,275,265,275,265,274,265,275,264,274,264,275,265,275,265,275,265,276,266,276,265,277,265,277,265,277,266,278,264,279,263,278,262,279,262,278,263,278,264,279,264,278,264,279,264,278,264,278,266
61,235,342,235,341,236,342,236,342,235,342,235,342,234,343,234,343,233,343,234,343,234,344,235,345,234,345,234,345,235,345,235,345,233,345,233,345,232,346,232,346,232,347,231,347,232,347,231,346,231,346,232,347,232,347,231,347,230,347,230,347,231,346,230,346,231,345,230,345,231,345,230,345,231,345,231,345,231,345,232,345,233,346,233,347,233,346,233,347,232,346,233,346,233,345,233,344,234,344,233,344,233,344,233,344,233,345
146,239,350,240,349,240,350,240,351,239,351,239,351,239,352,239,351,238,352,238,352,238,352,239,353,239,353,239,353,239,353,239,353,237,354,237,354,236,355,236,355,236,355,236,356,236,355,235,355,236,356,236,356,236,356,236,355,234,356,235,355,235,354,235,354,235,353,235,353,235,353,235,353,236,353,236,353,236,353,236,353,237,354,237,355,237,355,238,356,237,354,238,354,238,352,238,352,238,351,237,351,237,352,237,352,238,352
91,246,359,246,358,247,358,247,359,246,359,246,359,245,360,245,360,245,361,245,361,245,361,245,360,245,362,245,362,245,361,245,361,244,363,244,363,243,364,243,365,243,364,242,365,242,364,242,364,242,365,243,366,243,365,242,365,241,365,241,365,242,363,241,363,242,362,241,362,242,362,242,362,242,362,243,362,242,363,243,362,244,363,244,363,244,364,245,365,244,363,245,364,245,359,245,359,245,359,244,360,244,360,244,360,244,360
181,257,368,257,368,257,367,257,368,257,369,257,369,256,370,256,370,255,371,256,370,255,371,256,369,256,371,256,371,256,371,256,371,255,372,254,373,254,374,253,375,254,373,253,375,253,373,253,374,253,375,253,376,253,375,253,374,252,375,252,374,252,373,252,373,253,372,252,372,253,372,252,372,253,372,254,371,253,373,254,372,255,373,254,373,255,374,256,375,255,373,256,373,256,368,256,368,256,367,255,368,255,369,255,368,255,368
84,271,374,272,373,272,373,272,374,272,375,272,375,271,376,271,376,270,377,271,376,270,377,270,375,270,377,270,377,270,377,271,377,270,379,269,379,269,380,268,381,269,379,268,381,268,379,268,381,268,382,268,383,268,381,268,381,267,382,267,381,267,380,267,380,267,379,267,379,267,379,267,379,268,378,268,377,268,379,268,378,269,379,269,379,270,380,271,382,270,379,271,379,270,373,270,373,271,372,270,374,270,374,269,374,269,374
17,289,375,289,375,290,374,290,375,290,376,290,376,290,377,289,377,289,378,289,377,289,377,288,375,288,377,288,378,288,378,289,378,288,380,288,380,287,381,287,382,287,380,287,382,286,380,286,381,287,383,287,384,286,382,286,382,285,383,285,382,285,381,284,381,285,380,285,380,285,380,285,380,286,379,286,378,285,380,286,379,287,381,287,380,289,381,290,383,289,380,290,380,288,374,288,374,288,373,287,375,287,375,287,375,287,374
314,307,372,307,371,307,371,308,372,308,372,308,372,308,373,307,373,307,375,307,374,307,374,305,372,306,374,306,374,306,374,306,374,306,376,306,376,305,377,305,379,305,376,305,378,304,376,304,378,305,379,305,380,304,378,303,378,303,379,303,378,303,377,302,377,303,376,303,376,303,376,303,376,303,376,303,375,303,377,304,375,305,377,304,376,307,378,308,379,307,376,308,376,305,370,306,371,305,370,305,372,305,372,305,372,304,371
405,320,364,321,363,321,363,321,364,321,364,321,364,322,365,321,365,321,366,321,365,321,366,319,364,320,366,319,366,319,366,320,366,319,367,319,368,319,369,319,370,318,368,319,370,318,368,318,369,319,370,319,371,318,370,317,370,317,370,316,370,316,369,316,369,316,368,316,368,317,368,317,368,317,367,317,367,317,368,317,367,319,369,318,368,320,369,322,370,321,367,322,368,319,363,320,363,319,362,319,364,319,364,319,364,318,363
321,330,353,330,352,331,352,331,353,331,353,331,353,331,354,331,354,331,355,330,354,330,354,328,354,329,355,329,355,328,355,329,355,329,356,329,356,329,357,328,358,327,357,328,358,327,357,328,357,328,358,328,359,327,358,326,358,326,359,326,358,326,357,326,357,326,356,326,357,326,357,327,357,327,356,326,356,327,357,327,356,328,357,327,357,330,357,331,358,330,356,332,356,329,353,330,353,329,352,329,354,328,354,329,354,327,353
