Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90
4,379,246,379,245,378,243,379,243,378,243,378,243,378,243,379,243,378,243,378,243,379,242,378,243,379,243,380,242,380,242,379,242,379,241,379,243,379,245,380,244,380,244,380,244,380,243,380,242,380,243,380,243,380,243,381,243,380,243,381,243,381,243,381,243,381,244,381,243,381,244,381,244,381,244,381,244,381,244,380,244,381,244,381,244,382,244,382,244,382,243,383,243,382,243,382,242,382,242,382,242,383,242,382,241,383,242,382,241,382,242,382,242,381,242,381,241,380,242,380,242
61,322,320,322,319,323,319,323,318,323,318,322,318,323,319,323,319,323,319,323,319,323,319,322,318,323,318,322,320,321,319,322,319,322,319,323,319,322,322,321,323,322,324,322,323,323,324,323,324,324,324,324,325,324,325,325,325,324,325,325,326,324,326,324,325,324,325,324,325,324,326,324,326,324,326,323,326,324,326,324,325,325,324,324,324,323,325,322,324,323,323,323,323,323,323,322,323,323,323,323,323,323,322,323,321,323,322,323,320,323,321,325,320,325,320,325,320,323,319,322,319
146,327,327,327,325,328,325,328,325,328,324,328,325,328,325,328,325,328,325,328,325,328,325,327,325,327,325,327,327,327,327,326,326,327,326,328,327,326,330,326,332,326,333,327,333,328,334,328,335,328,335,329,335,329,335,329,335,329,335,329,335,329,335,329,334,328,334,328,336,328,336,328,337,328,336,328,337,328,336,328,336,329,335,329,335,327,335,328,334,328,332,328,333,329,332,328,333,328,332,328,332,328,331,328,331,328,331,328,330,328,330,330,330,330,329,330,328,328,327,327,326
91,335,333,335,332,336,331,336,332,336,331,336,332,336,331,336,332,335,332,335,332,336,331,335,332,335,332,334,335,334,334,334,334,335,333,335,335,334,338,333,341,334,343,334,344,335,344,335,345,335,345,336,345,336,345,336,345,336,345,336,345,336,346,335,344,335,344,335,348,335,347,335,348,335,347,335,348,335,347,335,346,336,345,336,346,335,346,335,343,336,342,336,343,336,342,335,342,336,342,336,342,336,341,336,341,336,340,336,339,336,339,337,339,337,337,337,336,335,335,335,334
181,347,341,346,340,347,339,347,339,347,339,347,340,347,339,347,340,347,340,347,339,347,339,346,339,346,340,346,343,346,343,345,342,346,341,346,343,345,347,345,351,345,353,345,354,346,355,346,356,346,356,347,356,347,356,347,355,347,356,347,356,347,356,347,355,347,354,346,359,346,358,346,359,346,358,345,359,346,358,346,357,347,356,347,357,346,357,347,354,348,352,347,354,348,352,347,353,348,352,347,352,348,350,347,351,348,350,347,349,348,348,349,349,349,347,348,346,347,344,347,343
84,362,346,361,345,362,344,362,344,362,344,362,345,362,344,362,345,362,345,362,344,362,344,361,345,361,346,361,349,361,348,361,348,361,347,361,349,360,353,360,358,361,360,361,361,362,362,362,363,362,364,362,363,362,363,362,362,362,363,362,363,362,364,362,362,362,361,362,367,361,366,361,366,362,366,361,367,362,365,361,364,363,364,363,365,362,365,363,360,364,359,364,361,363,358,363,360,364,359,363,359,364,357,363,358,363,356,363,356,363,355,364,355,364,353,363,352,362,350,362,348
17,379,347,379,346,380,345,380,346,379,344,380,346,379,345,380,346,379,346,379,345,379,345,378,346,379,347,379,350,379,350,378,349,379,348,379,350,378,355,379,360,380,362,380,363,381,363,381,365,381,365,381,365,381,365,381,364,381,365,381,365,381,365,381,364,381,363,381,369,380,368,380,368,381,368,380,369,381,367,380,366,382,365,383,366,382,366,382,362,383,360,383,362,382,360,382,361,383,360,382,360,382,359,382,360,382,358,382,357,382,356,383,357,382,354,381,353,380,352,379,350
314,396,345,395,344,396,342,397,343,396,342,396,344,396,343,397,344,396,344,396,343,396,342,395,344,396,345,396,348,396,347,395,347,396,346,396,348,396,352,397,357,398,359,398,359,399,360,399,361,399,362,399,361,399,362,399,360,399,361,399,362,399,362,398,361,399,360,400,365,399,365,398,365,399,365,399,366,399,364,399,363,400,362,401,363,400,363,401,358,401,357,402,359,400,356,401,358,401,357,401,357,400,355,401,356,400,355,400,354,400,353,401,354,399,351,398,350,397,349,397,347
405,410,339,409,338,410,336,410,337,410,336,410,337,410,337,411,337,410,337,410,337,410,336,409,337,410,338,410,341,410,341,410,340,410,339,410,341,410,345,411,349,412,351,412,351,413,352,413,353,413,353,413,353,413,353,413,352,413,353,413,353,413,353,412,352,412,351,414,356,412,356,412,356,413,356,412,357,412,355,412,354,413,353,415,353,415,354,415,350,416,349,416,350,415,348,415,350,415,349,415,349,415,348,415,348,414,347,414,347,414,346,415,346,413,344,412,343,411,342,410,340
321,420,330,420,329,421,328,421,328,421,328,421,329,420,328,421,329,421,329,420,328,420,328,420,329,420,329,420,332,420,331,420,331,420,330,420,332,420,335,421,338,422,339,422,339,422,340,423,341,422,341,422,341,422,341,422,340,422,341,422,341,422,341,421,341,421,340,423,343,421,344,421,344,421,344,421,345,421,343,421,342,423,341,425,341,424,342,425,338,425,337,426,339,425,337,425,338,425,338,425,338,425,336,425,337,424,336,425,335,424,335,424,335,423,333,422,332,421,332,421,331
