Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90
4,279,250,275,246,277,246,276,245,276,245,276,245,276,244,276,244,276,245,276,245,276,245,277,244,276,244,276,244,275,244,275,244,275,245,275,244,275,245,276,245,276,244,276,244,276,244,276,244,276,243,276,243,276,244,276,244,275,245
61,235,329,235,330,235,330,235,329,234,330,235,330,235,329,235,329,235,329,235,329,235,329,236,329,235,329,235,329,235,329,235,329,235,328,234,328,235,329,235,329,235,329,234,328,235,330,235,329,234,328,234,328,234,328,235,328,234,328
146,239,335,239,337,239,336,239,336,239,337,239,337,239,336,239,336,239,336,239,336,239,337,240,338,239,338,239,338,239,337,239,337,238,337,238,337,238,337,238,337,239,337,238,337,239,338,239,338,239,336,238,337,238,335,239,335,238,334
91,245,342,245,344,246,343,246,343,245,344,245,344,245,343,245,344,245,344,245,344,245,346,246,347,245,347,245,347,245,346,244,346,244,346,244,346,244,346,244,346,244,346,244,346,245,347,245,347,245,345,245,345,245,342,245,342,245,340
181,256,350,256,352,256,351,256,351,255,353,255,351,255,351,255,351,255,352,255,352,255,356,255,356,254,357,255,357,254,355,254,355,254,356,254,355,254,355,254,355,254,355,254,356,254,356,255,356,255,353,255,354,255,350,255,350,255,347
84,269,355,270,358,269,356,270,356,269,358,269,357,269,356,269,356,269,358,269,358,269,362,269,362,268,364,268,363,268,361,268,361,268,362,268,362,268,362,268,362,268,361,268,362,268,362,269,362,269,359,269,360,269,355,269,355,269,352
17,286,355,287,358,286,357,287,356,286,359,286,357,286,357,286,357,286,359,286,358,286,363,287,363,286,365,286,364,285,362,285,362,285,363,285,363,285,363,285,363,285,363,285,364,286,363,286,363,286,360,286,361,286,356,286,355,286,352
314,303,352,303,355,303,354,303,353,303,355,303,354,302,353,303,354,303,355,303,355,303,359,303,359,303,361,303,360,302,359,302,358,302,359,302,359,302,359,302,359,302,359,303,360,303,359,303,359,303,356,304,357,303,352,303,352,302,349
405,316,345,316,347,316,346,316,345,316,348,316,346,315,346,316,346,316,347,316,347,316,351,316,351,316,352,316,352,315,350,315,350,315,351,315,351,315,351,315,351,315,351,315,351,316,351,316,351,316,348,317,349,316,345,316,344,316,342
321,325,336,326,338,324,337,325,336,325,338,325,337,324,336,325,337,325,337,325,337,325,340,325,340,324,341,324,341,324,339,324,339,324,340,324,340,324,340,324,340,323,340,324,340,324,340,325,340,325,337,325,338,326,335,325,335,325,333
