Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90,Coordinate 91,Coordinate 92,Coordinate 93,Coordinate 94,Coordinate 95,Coordinate 96,Coordinate 97,Coordinate 98,Coordinate 99,Coordinate 100,Coordinate 101,Coordinate 102,Coordinate 103,Coordinate 104,Coordinate 105,Coordinate 106,Coordinate 107,Coordinate 108,Coordinate 109,Coordinate 110,Coordinate 111,Coordinate 112,Coordinate 113,Coordinate 114,Coordinate 115,Coordinate 116,Coordinate 117,Coordinate 118,Coordinate 119,Coordinate 120,Coordinate 121,Coordinate 122,Coordinate 123,Coordinate 124,Coordinate 125,Coordinate 126,Coordinate 127,Coordinate 128
4,299,244,295,242,295,243,296,241,296,241,296,241,295,240,295,240,295,240,296,240,295,239,294,239,293,236,292,236,292,235,292,235,292,236,293,236,293,236,294,236,294,237,293,238,294,239,294,238,294,240,294,240,294,240,294,240,294,240,294,240,294,240,293,240,295,239,295,240,295,239,294,239,294,238,295,238,294,239,295,239,295,238,294,239,294,240
61,249,324,249,325,249,325,250,325,249,325,249,326,249,326,248,326,248,327,247,326,249,325,247,325,248,323,246,323,246,323,246,324,247,324,248,324,247,324,247,324,248,324,248,325,249,324,249,324,248,324,248,324,248,324,248,324,248,324,247,324,247,325,247,325,249,325,250,325,248,324,247,325,247,325,247,325,247,325,247,325,248,324,247,324,248,323
146,253,330,253,331,253,333,254,333,253,333,253,334,253,334,253,334,252,334,252,334,253,332,251,333,252,330,250,330,250,330,250,330,251,332,252,331,251,332,251,332,252,331,252,332,252,331,253,331,252,332,252,332,252,332,252,332,252,332,251,332,251,332,251,332,253,333,254,333,252,333,251,333,251,333,252,333,251,332,251,332,252,330,252,331,253,329
91,260,337,260,338,259,341,260,341,259,342,260,343,259,342,259,342,258,342,258,342,259,339,258,340,258,337,257,337,256,337,256,337,257,339,258,339,258,341,258,341,258,339,258,339,259,339,259,339,258,339,258,340,258,340,258,340,258,341,258,340,257,340,257,340,259,341,260,341,258,342,257,342,258,341,258,341,258,339,258,339,259,336,258,338,260,334
181,270,344,270,346,270,349,270,349,270,351,270,352,270,351,269,351,269,351,268,351,269,347,268,348,269,345,267,345,267,345,266,345,267,348,268,348,268,350,268,350,268,348,268,347,269,347,269,347,268,348,268,348,268,349,269,349,268,350,268,349,267,349,267,349,269,351,270,351,269,351,268,352,268,349,269,349,269,347,269,347,270,343,269,346,270,341
84,284,349,284,351,284,355,284,355,284,357,284,357,284,357,284,357,283,356,283,356,283,353,282,354,283,350,281,350,281,350,281,350,281,354,282,353,282,356,283,356,282,354,282,352,282,353,283,352,282,354,282,354,283,354,283,355,282,356,282,355,281,355,281,354,283,357,284,357,283,358,283,358,283,354,283,355,283,353,283,353,284,347,283,351,284,345
17,300,350,301,352,301,356,302,356,302,358,302,359,302,358,301,358,301,357,301,358,300,354,300,355,300,351,298,351,298,351,298,351,299,355,300,354,300,357,300,357,299,355,299,353,299,354,299,354,299,355,299,355,300,356,300,356,300,357,299,356,298,356,298,356,301,358,301,358,301,359,301,359,301,355,301,356,301,353,301,354,301,348,300,351,301,345
314,316,348,317,349,318,353,318,353,319,355,319,355,319,355,319,355,318,355,318,355,317,351,317,352,317,348,315,348,315,348,315,348,316,352,317,351,318,354,318,354,316,352,316,350,316,351,316,351,316,352,316,352,317,353,317,353,317,354,316,353,315,353,315,353,318,355,318,355,318,356,318,356,318,352,318,353,318,350,318,351,317,345,317,348,317,342
405,329,341,330,342,331,346,331,345,332,347,332,347,332,347,332,347,331,347,331,347,330,344,330,345,330,341,329,341,328,341,328,342,329,344,330,344,331,346,331,346,330,345,329,343,329,344,329,344,329,345,329,345,330,345,330,346,330,347,329,346,328,346,328,346,331,347,331,347,332,348,332,348,331,345,332,346,331,343,332,344,330,339,330,342,330,336
321,338,333,340,333,340,336,340,336,341,337,341,337,341,337,341,337,341,337,340,337,339,334,339,335,339,332,338,332,338,332,338,333,339,334,339,334,340,336,340,336,339,335,338,334,338,335,338,335,339,335,339,335,339,336,339,336,339,337,338,336,337,337,337,337,339,337,339,337,341,337,341,337,341,335,341,336,341,334,341,334,340,331,339,332,339,328
