Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90,Coordinate 91,Coordinate 92,Coordinate 93,Coordinate 94,Coordinate 95,Coordinate 96,Coordinate 97,Coordinate 98,Coordinate 99,Coordinate 100,Coordinate 101,Coordinate 102,Coordinate 103,Coordinate 104,Coordinate 105,Coordinate 106,Coordinate 107,Coordinate 108,Coordinate 109,Coordinate 110,Coordinate 111,Coordinate 112,Coordinate 113,Coordinate 114,Coordinate 115,Coordinate 116,Coordinate 117,Coordinate 118,Coordinate 119,Coordinate 120,Coordinate 121,Coordinate 122,Coordinate 123,Coordinate 124,Coordinate 125,Coordinate 126,Coordinate 127,Coordinate 128
4,396,244,398,244,397,244,396,245,396,245,396,245,396,245,396,245,396,244,396,244,395,244,395,244,395,244,395,244,395,243,395,243,395,243,395,243,395,242,395,242,395,242,395,242,395,242,395,242,395,243,395,242,396,241,395,241,395,242,395,242,395,241,395,241,395,242,395,242,395,242,395,242,394,242,395,242,395,242,394,241,394,241,395,240,394,241,395,240,394,240,395,240,395,241
61,345,323,344,323,344,324,344,324,345,324,344,325,343,325,344,326,344,326,344,326,344,326,344,326,345,326,344,326,345,325,344,325,344,325,343,324,344,325,344,325,346,325,345,325,346,325,346,326,348,325,348,325,349,324,349,324,347,323,347,324,347,324,347,324,345,324,345,325,346,325,346,325,345,326,345,326,346,326,345,325,346,324,345,324,346,324,344,323,344,322,344,321,344,320
146,350,330,349,330,349,331,349,331,349,332,349,333,348,334,348,334,349,334,349,334,349,334,349,334,349,334,348,334,349,333,348,333,348,333,348,333,348,333,349,333,350,334,349,334,350,334,350,335,352,333,351,333,353,333,352,332,351,332,351,332,351,332,351,333,349,333,349,334,350,333,350,333,349,335,349,334,350,334,350,334,350,332,349,332,350,331,348,330,348,329,348,328,348,326
91,357,337,356,337,355,339,355,339,356,340,355,341,355,342,355,343,356,342,355,343,355,342,355,342,356,342,355,342,356,341,355,341,355,341,354,341,355,341,355,341,356,342,356,343,356,344,356,344,357,341,357,342,359,342,358,341,357,341,357,342,357,341,357,342,356,343,356,343,356,342,356,342,355,344,356,343,356,343,356,343,356,340,355,340,356,338,355,338,355,336,355,335,355,333
181,368,345,367,344,366,347,366,347,367,348,366,350,365,351,366,352,366,351,366,351,366,351,366,351,366,351,366,351,366,350,366,350,366,350,365,350,366,350,366,350,366,352,366,352,366,354,366,354,367,350,367,351,369,352,368,351,367,350,367,352,367,351,367,352,366,353,366,353,366,352,366,352,365,353,366,352,366,353,366,352,366,350,366,349,366,346,365,346,365,344,366,343,366,340
84,382,350,381,349,380,353,380,353,381,354,380,356,380,357,380,358,381,357,381,357,381,357,381,357,381,356,380,357,381,356,380,356,380,356,380,356,380,356,381,356,380,358,380,358,380,361,380,361,381,357,381,357,382,358,381,357,381,356,381,358,381,357,381,358,380,359,380,360,380,359,380,358,379,360,380,359,381,360,380,359,380,356,380,355,380,351,379,352,379,349,380,348,380,345
17,399,350,398,350,397,354,397,354,398,355,397,357,398,358,398,359,398,358,398,358,398,358,398,357,398,357,398,358,398,357,397,357,398,357,397,357,398,357,398,357,398,359,398,359,398,362,398,363,398,358,398,359,399,359,398,358,398,358,398,359,398,358,399,359,398,360,398,361,397,360,397,360,397,361,397,360,398,361,397,360,397,357,397,356,397,352,397,353,396,350,397,349,397,346
314,415,348,414,347,413,351,413,351,414,352,414,354,414,355,415,356,415,354,415,355,415,355,415,354,414,354,414,354,414,353,414,354,414,354,414,354,414,354,415,354,414,356,414,356,414,358,415,359,413,355,413,355,416,355,414,355,414,354,414,356,415,355,415,356,414,357,414,357,414,356,414,356,413,358,414,356,414,357,414,356,414,353,413,353,413,349,413,350,412,347,413,346,413,343
405,428,341,426,341,426,344,426,344,426,345,426,346,427,347,427,348,427,347,427,347,427,347,427,346,427,346,426,347,427,346,427,346,427,346,426,346,427,346,427,346,426,348,427,348,427,350,427,350,425,347,425,348,427,347,426,347,426,346,426,348,427,347,427,347,426,349,427,349,426,348,426,348,426,349,426,348,426,349,426,348,426,346,426,345,425,342,425,343,425,340,425,339,425,337
321,436,332,435,332,434,334,434,334,434,335,434,336,435,337,435,338,435,337,435,337,436,336,436,336,435,336,435,336,435,335,435,336,435,336,435,336,435,336,435,336,434,337,434,337,434,339,434,339,432,336,433,337,434,336,433,336,433,335,434,336,435,336,435,336,434,337,434,338,434,337,433,337,433,339,433,338,434,338,434,338,434,335,434,335,433,333,434,333,433,331,433,331,434,328
