Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90,Coordinate 91,Coordinate 92,Coordinate 93,Coordinate 94,Coordinate 95,Coordinate 96,Coordinate 97,Coordinate 98,Coordinate 99,Coordinate 100,Coordinate 101,Coordinate 102,Coordinate 103,Coordinate 104,Coordinate 105,Coordinate 106,Coordinate 107,Coordinate 108,Coordinate 109,Coordinate 110,Coordinate 111,Coordinate 112,Coordinate 113,Coordinate 114,Coordinate 115,Coordinate 116,Coordinate 117,Coordinate 118,Coordinate 119,Coordinate 120,Coordinate 121,Coordinate 122,Coordinate 123,Coordinate 124,Coordinate 125,Coordinate 126,Coordinate 127,Coordinate 128
4,405,248,406,247,407,246,406,246,406,245,406,244,406,244,405,245,407,243,406,244,406,244,406,245,406,245,407,245,406,245,406,245,406,245,406,245,406,244,406,244,406,244,406,244,407,244,407,244,409,242,408,242,409,242,409,242,409,243,409,244,408,244,408,243,409,242,408,242,408,240,408,240,408,239,408,240,407,240,408,240,407,240,408,241,409,241,409,241,410,241,409,241,409,241,409,241,409,241,409,241,409,241,409,242,409,242,409,243,409,242,408,241,408,242,408,242,407,242,406,244,406,242,406,244,405,243,404,244,403,242,402,243,402,241,401,242,400,242
61,343,323,343,323,342,323,343,322,342,323,342,322,342,322,342,322,342,321,342,321,342,321,342,321,342,321,343,321,342,321,342,321,342,321,342,321,342,321,342,321,341,321,342,321,342,323,343,323,343,323,343,323,343,322,342,322,342,322,342,322,343,322,343,321,344,320,343,320,343,322,344,322,343,321,343,320,342,319,342,320,340,318,341,317,341,315,341,315,341,315,341,315,341,315,341,315,341,317,341,317,340,317,342,317,342,317,340,317,341,318,341,318,342,320,342,319,342,319,340,320,341,319,339,319,339,319,339,319,339,319,337,319,338,318,337,319,338,319
146,348,332,348,330,347,331,348,330,347,332,347,331,347,331,347,331,348,330,347,329,347,329,347,330,348,330,348,330,348,330,348,330,347,330,347,330,347,330,347,330,346,330,347,330,348,332,348,331,348,334,347,334,348,334,347,333,348,333,348,333,348,333,348,333,349,333,348,333,348,334,349,334,348,333,348,333,347,331,347,332,346,329,347,328,347,327,347,327,347,327,347,327,347,327,347,327,346,328,346,328,346,328,348,329,348,328,346,329,347,329,347,329,348,330,348,329,347,329,346,329,346,328,345,329,345,328,345,328,345,327,343,328,344,327,343,327,344,327
91,356,340,356,338,355,339,356,338,355,341,355,340,355,340,355,341,356,340,355,339,355,338,355,339,356,339,356,339,356,339,356,339,355,339,355,339,355,339,355,339,355,340,355,339,356,341,356,341,355,346,355,346,355,345,355,345,355,345,355,345,356,345,356,345,357,345,356,345,356,348,357,347,356,347,355,347,355,344,355,344,354,342,355,341,355,340,355,340,355,339,355,339,355,339,356,339,355,340,355,340,354,340,356,340,356,340,355,340,356,339,355,340,356,340,356,340,356,338,355,339,355,338,354,339,354,338,353,338,353,336,352,337,353,336,351,336,352,335
181,368,350,369,348,368,349,369,348,367,351,368,351,367,351,367,352,368,350,368,349,368,349,367,350,368,349,369,349,368,349,368,349,368,349,368,349,368,349,368,350,367,350,368,350,368,352,368,351,367,358,367,358,368,358,367,358,368,357,368,357,368,357,368,357,369,358,368,358,367,361,368,361,368,360,368,360,368,356,367,357,367,354,368,353,368,352,368,352,368,352,368,351,368,351,368,351,367,353,367,353,367,352,369,352,369,351,368,352,369,350,369,352,369,351,369,351,369,349,368,349,368,348,367,349,367,348,366,347,366,346,365,347,366,345,364,346,365,345
84,384,357,385,354,384,356,385,354,384,358,384,358,383,358,384,359,385,358,384,356,384,356,384,357,384,356,385,356,384,356,384,356,384,356,384,356,384,356,384,357,384,357,384,357,385,359,385,358,384,366,384,366,384,366,384,366,385,365,385,365,385,365,385,365,385,367,385,367,384,370,385,369,385,369,385,369,385,364,384,365,384,362,385,360,385,360,385,360,385,359,385,359,385,359,385,359,384,361,385,360,384,360,385,360,386,358,385,359,386,358,386,359,386,358,386,358,385,356,385,356,385,355,384,356,384,355,383,355,383,353,381,354,383,352,381,353,382,351
17,403,359,404,355,403,357,404,356,403,360,404,360,403,361,403,362,404,360,404,358,403,358,403,359,403,358,404,358,403,358,403,358,403,358,403,358,403,358,403,359,403,359,403,359,404,360,404,360,405,368,404,369,405,368,405,368,405,368,405,368,405,367,405,368,406,369,405,370,406,372,406,372,406,371,406,372,405,367,405,368,405,364,406,363,406,362,406,362,406,362,406,361,405,361,406,361,405,363,405,363,405,362,406,362,407,360,406,361,407,359,407,361,406,360,406,360,405,358,405,358,405,357,405,358,404,357,403,356,403,355,401,356,402,353,400,354,401,352
314,422,356,422,353,422,355,422,354,422,358,422,357,422,358,422,359,423,357,422,356,422,355,422,356,422,356,422,355,422,356,422,355,422,356,422,356,422,356,422,356,422,356,422,356,423,358,423,357,424,365,424,365,425,365,425,365,425,364,425,364,425,364,425,364,426,366,425,366,425,368,426,368,426,368,426,368,425,363,425,364,425,361,425,359,425,359,425,359,426,359,425,358,425,358,425,358,425,359,425,360,425,360,426,359,427,357,426,358,426,356,427,358,425,357,426,357,424,354,424,356,424,354,424,355,423,354,422,354,421,352,420,353,421,350,419,351,419,350
405,437,349,436,346,436,348,437,347,437,350,437,350,437,350,438,351,438,349,437,348,437,348,436,349,436,348,437,348,436,348,436,348,436,348,436,348,436,348,436,348,436,349,436,348,438,350,438,349,439,356,439,356,440,356,440,356,440,355,440,355,440,355,440,355,440,356,439,357,440,359,440,358,441,358,441,358,440,354,440,355,440,352,440,350,441,350,441,350,441,349,440,349,440,349,440,349,440,350,440,350,441,350,440,350,442,348,442,349,441,347,442,349,440,349,441,349,439,347,439,348,439,346,439,347,438,346,437,346,436,344,436,345,436,343,435,344,434,342
321,448,338,447,337,447,338,447,337,448,339,448,339,448,339,448,340,449,339,448,338,447,337,447,338,447,338,447,337,447,338,447,337,447,338,447,338,447,337,447,338,447,338,447,338,448,339,448,339,449,343,449,343,450,343,449,343,450,342,450,342,450,342,449,342,449,343,449,343,450,344,449,344,450,344,450,344,450,341,449,341,450,339,451,337,451,336,451,336,451,336,451,336,450,336,451,336,450,338,450,338,451,338,451,338,452,336,452,336,452,335,453,336,451,337,451,337,450,336,450,336,449,335,450,336,449,335,448,335,447,334,447,335,447,332,446,333,445,332
