Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90,Coordinate 91,Coordinate 92,Coordinate 93,Coordinate 94,Coordinate 95,Coordinate 96,Coordinate 97,Coordinate 98,Coordinate 99,Coordinate 100,Coordinate 101,Coordinate 102,Coordinate 103,Coordinate 104,Coordinate 105,Coordinate 106,Coordinate 107,Coordinate 108,Coordinate 109,Coordinate 110,Coordinate 111,Coordinate 112,Coordinate 113,Coordinate 114,Coordinate 115,Coordinate 116,Coordinate 117,Coordinate 118,Coordinate 119,Coordinate 120,Coordinate 121,Coordinate 122,Coordinate 123,Coordinate 124,Coordinate 125,Coordinate 126,Coordinate 127,Coordinate 128,Coordinate 129,Coordinate 130,Coordinate 131,Coordinate 132,Coordinate 133,Coordinate 134,Coordinate 135,Coordinate 136,Coordinate 137,Coordinate 138,Coordinate 139,Coordinate 140,Coordinate 141,Coordinate 142,Coordinate 143,Coordinate 144
4,406,246,406,243,405,243,406,243,405,243,406,242,405,243,405,242,407,243,407,243,409,243,410,242,411,242,411,242,411,243,411,244,412,244,412,245,410,246,410,245,409,244,410,244,410,243,409,242,409,241,409,241,409,241,409,241,409,241,408,241
61,350,319,352,320,351,321,350,322,352,324,352,324,352,324,353,324,356,324,355,324,357,325,357,325,358,326,359,326,361,328,361,328,360,328,359,328,358,327,357,327,357,327,358,328,358,327,357,328,358,324,358,325,357,324,357,324,357,323,356,322
146,355,326,357,327,355,329,355,330,356,332,356,332,356,332,357,332,360,333,359,332,361,335,360,334,362,335,362,335,364,336,364,337,364,337,363,338,361,337,361,337,361,337,362,337,361,336,360,336,361,334,361,334,361,332,361,332,361,330,360,329
91,362,334,363,334,362,337,362,339,363,340,363,341,363,341,363,341,366,342,366,341,367,346,366,345,368,345,368,345,369,346,370,347,369,348,369,349,367,348,367,348,367,347,367,347,367,346,366,346,367,344,367,344,367,341,367,341,367,337,366,336
181,373,342,374,343,373,346,372,348,374,350,374,350,374,350,374,350,376,352,376,350,377,357,377,356,378,356,378,356,379,357,379,358,379,359,379,361,377,359,377,360,377,359,377,359,377,358,376,356,377,354,377,354,377,351,377,350,377,345,377,345
84,388,348,388,348,387,353,387,354,388,356,388,357,388,357,388,357,390,359,390,357,391,364,391,363,392,364,392,363,393,364,393,366,393,367,393,369,391,367,391,367,391,366,391,366,391,365,390,364,391,362,391,361,391,357,391,357,391,351,391,351
17,405,349,405,350,405,354,405,355,406,358,406,358,406,358,406,358,408,360,408,358,410,366,409,365,410,365,410,365,411,365,411,367,411,369,412,371,409,369,409,369,409,368,409,368,408,367,408,366,409,364,409,363,409,359,408,359,408,352,408,352
314,422,347,422,347,421,352,422,353,422,355,423,355,423,355,423,355,425,358,424,355,427,363,426,362,427,362,427,362,428,362,428,364,428,365,429,367,426,366,427,366,426,365,426,365,425,364,425,363,425,360,426,360,425,356,425,356,424,350,424,350
405,435,340,435,341,434,345,435,346,435,348,436,348,436,348,436,348,437,350,437,348,440,355,439,354,440,355,440,354,440,355,440,356,441,356,441,357,440,357,440,357,439,356,439,356,438,355,437,354,438,352,438,352,438,349,437,348,436,343,437,343
321,444,331,444,332,443,335,444,336,444,337,444,338,444,338,444,338,446,339,445,338,448,343,447,342,447,342,447,342,448,343,448,344,449,344,449,346,447,345,448,345,447,344,447,344,445,344,445,343,446,341,446,341,446,338,445,338,445,334,445,334
375,449,323,449,324,449,326,450,327,449,328,449,329,449,328,449,328,450,330,450,329,453,332,451,331,452,332,451,332,452,333,451,334,453,334,453,334,451,334,452,334,451,333,451,334,449,334,449,333,449,331,450,331,450,329,450,329,449,327,450,326
291,453,316,453,317,452,318,454,319,452,320,453,320,452,320,452,320,453,321,453,321,455,322,454,321,454,322,454,322,454,324,454,324,455,324,455,324,454,324,455,323,453,323,453,324,451,324,452,325,452,321,452,321,453,321,452,321,452,320,454,319
61,350,319,352,320,351,321,350,322,352,324,352,324,352,324,353,324,356,324,356,324,357,325,357,325,358,326,359,326,361,328,361,328,360,328,359,328,358,327,357,327,357,327,358,328,358,327,357,328,358,324,358,325,357,324,357,324,357,323,356,322
185,354,312,356,314,355,314,355,315,357,316,357,317,357,316,357,316,360,316,360,317,361,316,361,316,362,317,363,317,365,319,365,319,364,319,364,319,362,318,361,318,362,319,362,319,362,319,361,319,362,316,362,316,361,316,361,316,361,316,360,315
40,363,307,364,309,363,309,363,310,364,310,364,311,364,310,364,310,367,310,367,311,368,309,368,310,369,310,370,310,371,312,372,312,371,313,371,313,369,312,369,312,368,312,369,313,369,312,368,313,368,309,369,309,368,310,368,310,368,310,368,310
39,373,301,374,303,373,303,372,303,374,304,374,304,374,303,374,303,376,303,376,303,377,302,377,302,378,303,379,303,380,304,380,305,380,306,380,306,378,306,377,305,377,305,378,306,378,305,377,305,377,302,377,302,377,303,377,302,377,303,377,303
37,389,296,390,298,389,298,389,298,390,298,390,298,390,298,390,298,391,297,392,298,393,296,393,296,394,297,394,297,395,298,395,299,395,300,395,300,393,300,393,300,393,300,394,300,393,299,393,299,393,296,393,296,393,297,393,296,393,297,392,298
0,405,298,405,300,405,299,404,300,405,299,406,300,405,299,405,299,407,298,407,299,409,297,409,297,410,298,410,298,410,300,410,300,411,301,411,301,409,302,409,301,408,301,409,301,408,301,408,301,408,297,408,297,408,298,408,298,408,298,407,299
267,420,295,420,297,420,297,420,297,420,297,420,297,420,297,420,297,422,296,422,296,424,295,424,295,425,296,424,296,425,297,425,297,426,299,426,299,424,299,424,299,424,299,424,299,423,298,422,299,423,295,423,295,423,296,422,295,422,296,422,297
269,435,300,435,301,434,301,435,301,435,301,435,302,435,301,435,301,436,301,436,301,439,300,438,300,439,301,438,301,439,302,439,302,440,303,440,303,439,303,439,303,438,303,438,303,436,303,436,304,437,300,437,300,437,301,437,300,436,301,436,301
270,444,305,443,307,443,307,443,307,443,307,443,308,443,307,443,307,444,307,444,308,446,307,445,307,446,308,446,308,446,309,446,309,447,309,447,310,445,310,446,309,445,309,445,310,443,310,444,310,444,306,444,307,444,307,444,307,444,308,444,307
