Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90,Coordinate 91,Coordinate 92,Coordinate 93,Coordinate 94,Coordinate 95,Coordinate 96,Coordinate 97,Coordinate 98,Coordinate 99,Coordinate 100,Coordinate 101,Coordinate 102,Coordinate 103,Coordinate 104,Coordinate 105,Coordinate 106,Coordinate 107,Coordinate 108,Coordinate 109,Coordinate 110,Coordinate 111,Coordinate 112,Coordinate 113,Coordinate 114,Coordinate 115,Coordinate 116,Coordinate 117,Coordinate 118,Coordinate 119,Coordinate 120,Coordinate 121,Coordinate 122,Coordinate 123,Coordinate 124,Coordinate 125,Coordinate 126,Coordinate 127,Coordinate 128
4,379,245,381,244,380,244,379,244,381,243,380,244,380,241,379,242,379,241,379,241,379,241,380,241,379,243,380,243,379,242,379,242,379,242,379,242,379,242,379,242,380,241,380,241,379,240,379,240,379,240,379,241,379,240,379,241,378,240,378,241,378,241,379,242,378,242,378,242,379,242
61,330,322,330,321,333,322,332,322,334,324,332,323,331,324,332,324,333,324,333,325,334,326,335,325,332,325,335,326,334,324,334,324,333,324,334,324,333,325,333,325,333,326,333,325,331,324,331,323,330,323,330,323,331,322,330,322,331,321,331,322,330,321,330,321,331,320,331,321,330,320
146,334,330,335,329,337,329,336,329,338,332,336,332,335,332,335,333,337,333,337,333,338,333,338,333,336,334,338,335,337,333,337,333,337,333,337,333,337,334,337,334,337,334,337,334,335,332,335,331,335,331,334,331,335,330,334,330,335,329,335,329,335,329,334,329,335,327,335,328,335,327
91,341,338,341,337,343,336,343,337,344,340,342,341,341,341,342,342,343,341,343,342,343,342,344,342,342,344,344,344,343,343,343,342,343,343,343,342,343,343,343,344,343,344,343,343,341,341,342,340,341,340,341,339,341,338,341,338,341,337,341,338,341,337,341,337,342,333,342,335,342,334
181,352,346,352,345,353,344,353,345,354,349,353,350,352,351,352,351,353,351,353,352,353,351,354,352,352,355,354,354,353,353,353,353,353,353,353,353,353,354,353,354,353,354,353,352,352,351,352,350,352,349,351,348,352,347,351,347,352,346,352,347,351,345,351,346,352,341,352,343,352,342
84,366,352,366,351,367,350,366,351,368,356,366,356,366,357,366,357,367,357,367,359,367,358,367,358,366,362,368,361,367,360,367,360,367,360,367,360,367,361,367,361,367,361,367,359,366,357,366,356,366,355,366,354,366,352,366,353,366,352,366,353,366,351,366,352,366,346,366,349,367,347
17,383,353,383,353,383,351,383,352,385,357,384,358,384,358,384,359,384,358,384,360,384,359,384,360,383,364,385,363,384,362,384,362,384,362,384,361,384,363,384,363,385,362,385,360,384,359,384,357,384,356,383,356,383,354,383,354,383,353,383,354,383,352,383,353,383,347,383,349,384,348
314,399,350,400,350,399,348,399,349,401,354,400,355,401,355,401,356,400,355,401,356,400,356,401,357,401,360,402,360,401,358,401,358,401,358,401,358,401,359,401,359,402,358,402,357,401,355,401,354,401,353,400,352,400,350,400,351,400,350,400,350,399,349,400,350,399,345,400,347,400,345
405,412,343,413,343,412,342,412,342,414,346,413,347,414,347,414,347,413,347,413,348,413,348,413,348,413,352,414,351,414,350,414,350,414,350,413,349,414,350,414,351,414,350,415,349,414,347,414,346,414,345,414,345,413,343,413,344,413,342,413,343,413,342,413,342,412,338,413,340,413,338
321,421,333,422,333,421,332,420,333,422,335,421,336,422,336,422,337,421,337,421,337,421,337,421,338,421,340,422,339,422,338,422,338,422,338,422,338,422,339,422,339,423,339,423,338,423,336,423,335,423,335,423,334,423,333,423,333,422,332,422,333,422,332,422,332,421,329,422,330,423,329
