Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90,Coordinate 91,Coordinate 92,Coordinate 93,Coordinate 94,Coordinate 95,Coordinate 96,Coordinate 97,Coordinate 98,Coordinate 99,Coordinate 100,Coordinate 101,Coordinate 102,Coordinate 103,Coordinate 104,Coordinate 105,Coordinate 106,Coordinate 107,Coordinate 108,Coordinate 109,Coordinate 110,Coordinate 111,Coordinate 112,Coordinate 113,Coordinate 114,Coordinate 115,Coordinate 116,Coordinate 117,Coordinate 118,Coordinate 119,Coordinate 120,Coordinate 121,Coordinate 122,Coordinate 123,Coordinate 124,Coordinate 125,Coordinate 126,Coordinate 127,Coordinate 128,Coordinate 129,Coordinate 130,Coordinate 131,Coordinate 132,Coordinate 133,Coordinate 134,Coordinate 135,Coordinate 136,Coordinate 137,Coordinate 138,Coordinate 139,Coordinate 140,Coordinate 141,Coordinate 142,Coordinate 143,Coordinate 144
4,400,250,402,248,402,249,402,248,402,247,401,247,401,246,401,246,400,246,400,246,400,246,400,246,399,248,399,247,399,247,398,247,397,248,397,247,396,247,397,246,396,246,396,247,396,247,395,247,396,248,395,248,396,248,395,249,395,249,395,249,395,247,395,247,395,247,394,247,394,247,395,247,395,247,395,247,394,246,395,246,396,245,396,244,396,245,396,245,396,245,397,245,397,245,396,245,396,245,396,245,397,246,397,245,396,246,396,245,396,246,396,246,396,246,395,246,395,246,395,245,395,245,394,245,394,244,394,244,394,244,394,246,395,246,395,246,395,246,395,246,395,246,395,246,396,246,396,246,394,247
61,340,325,340,324,340,323,340,324,339,324,340,323,340,323,340,322,339,323,340,323,337,322,338,323,337,322,338,322,338,322,336,322,337,323,336,323,336,322,335,322,335,322,334,323,334,322,333,323,334,323,334,323,334,323,333,323,332,324,334,327,335,327,335,326,335,326,335,326,336,326,335,325,336,325,335,324,334,325,334,325,335,326,335,326,335,326,335,327,336,326,335,325,334,324,335,324,336,323,335,323,335,323,334,322,334,322,334,322,334,323,333,323,334,323,334,323,334,322,333,321,334,321,333,320,333,320,332,320,332,320,332,321,332,320,331,320,332,320,332,320,332,320,333,320,333,321,333,321,332,322
146,345,332,346,330,345,330,345,330,345,331,345,330,345,330,345,329,345,330,345,329,343,329,343,329,343,329,343,329,343,329,341,329,342,330,341,329,341,328,340,329,340,329,339,331,339,330,339,330,339,330,339,331,339,330,338,332,338,332,339,335,339,337,339,336,340,336,340,336,341,335,340,335,340,334,340,334,339,335,338,337,339,337,339,337,339,338,340,338,340,337,340,335,339,334,340,334,340,334,340,334,339,333,339,332,339,332,339,332,339,333,338,333,339,333,339,333,339,332,339,331,339,331,339,330,338,329,338,329,337,329,337,329,337,328,337,327,338,328,338,328,337,328,338,328,338,329,338,329,337,330
91,353,339,353,337,353,337,353,337,352,338,353,337,353,337,353,336,352,337,352,336,351,336,351,336,350,337,350,336,351,336,349,337,350,337,348,336,349,335,348,336,348,336,347,338,347,338,347,338,347,337,347,338,347,338,346,340,345,340,346,345,346,347,346,346,347,346,347,346,348,346,347,345,347,344,347,345,346,346,345,348,347,348,346,349,346,349,347,349,347,348,347,346,346,345,347,344,348,344,347,344,347,343,347,343,346,343,346,343,346,343,346,344,347,344,346,343,347,342,346,341,347,341,346,340,346,338,345,338,345,337,345,337,345,336,345,335,346,336,346,336,346,336,346,336,346,337,346,337,345,338
181,365,347,365,345,365,345,365,346,365,346,365,345,365,346,365,344,364,345,364,344,363,345,363,344,363,345,362,344,363,344,361,345,361,345,360,344,361,343,360,345,360,344,359,347,359,346,359,347,359,346,359,347,359,347,358,349,357,350,358,354,358,357,358,357,358,357,358,357,359,356,359,355,359,355,358,356,357,358,357,360,358,360,357,361,358,361,358,361,359,360,359,357,358,356,358,355,359,356,359,355,358,354,358,354,358,354,358,354,358,354,358,355,358,355,358,354,358,353,358,352,358,351,358,350,358,348,357,347,357,347,357,346,357,345,357,344,358,344,358,344,358,345,358,345,358,346,358,346,357,347
84,380,353,381,351,381,351,380,351,380,352,380,350,380,351,380,349,380,350,380,349,378,350,378,350,378,351,377,350,378,349,376,351,377,351,375,350,376,348,376,350,375,350,375,353,374,352,374,352,374,352,374,353,375,352,373,356,373,356,373,361,373,365,374,364,374,364,373,365,374,363,374,362,374,362,374,363,373,366,372,369,374,367,373,369,373,369,374,369,374,367,374,364,374,364,374,363,375,363,374,363,374,361,374,361,374,361,373,361,373,361,373,362,374,362,374,361,374,360,373,359,374,358,373,357,373,354,372,353,372,353,372,352,373,351,372,350,373,350,373,350,373,351,374,351,374,352,374,352,373,353
17,398,354,399,352,398,352,398,352,398,353,398,351,398,353,398,351,398,351,397,351,397,352,397,351,396,352,395,351,396,350,395,352,394,352,393,351,393,350,393,352,393,351,393,355,393,353,392,354,393,353,392,354,393,354,392,357,391,358,392,363,392,366,393,367,393,366,392,367,393,365,392,364,393,364,392,365,392,368,392,371,393,369,393,372,393,371,393,371,394,369,393,366,393,366,393,365,394,365,394,365,393,363,393,363,393,363,393,363,393,363,393,364,393,364,393,363,392,362,392,360,393,359,392,358,392,356,391,355,390,355,390,354,391,352,391,352,391,352,391,352,392,352,392,353,392,354,392,354,391,355
314,415,352,415,350,415,350,415,350,415,351,415,349,415,350,414,349,415,349,414,348,413,350,413,349,413,350,412,349,413,348,412,350,411,350,410,349,410,348,410,349,410,349,410,352,410,351,410,352,410,351,409,352,410,352,409,355,408,356,410,360,410,363,411,363,411,363,410,363,411,362,410,361,410,361,410,361,410,364,411,367,411,366,411,368,412,368,412,368,412,366,411,363,411,363,411,361,413,362,412,362,411,360,411,359,411,359,411,360,411,360,411,361,411,361,411,360,410,359,410,357,410,357,410,356,409,353,408,352,407,352,408,352,408,350,408,350,408,350,409,350,409,350,409,351,410,351,410,351,409,352
405,428,345,429,344,429,344,428,344,429,344,428,343,429,344,428,343,428,343,427,342,427,343,427,342,427,343,426,343,426,342,426,343,425,343,424,342,424,341,424,343,424,343,424,345,424,344,424,345,424,344,423,345,423,345,423,348,422,348,423,352,424,355,424,354,424,354,424,355,424,354,423,353,424,353,424,353,424,356,424,358,425,357,425,359,425,359,425,359,425,357,425,355,425,354,425,353,426,353,425,353,425,351,425,351,425,351,424,351,424,352,425,353,425,352,424,352,424,351,424,350,424,349,424,348,423,346,422,345,421,345,421,345,422,343,422,343,423,343,423,343,423,343,423,344,424,344,424,344,423,346
321,438,337,439,335,439,335,438,335,438,335,438,335,438,335,438,334,438,334,437,334,437,334,437,334,437,335,435,334,436,333,435,334,434,335,434,334,434,333,434,334,433,334,434,336,434,335,434,336,434,335,433,336,434,336,433,338,432,339,433,342,433,343,434,343,433,342,433,343,433,342,432,341,433,341,433,341,433,343,433,345,434,345,434,346,434,346,434,346,434,345,433,343,434,342,434,342,436,341,435,341,434,340,434,340,434,340,434,340,434,340,434,341,434,341,434,340,433,339,433,338,434,338,434,337,433,336,432,335,431,335,431,335,432,334,432,334,433,334,433,334,434,334,434,334,434,335,434,335,433,336
