Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90
4,417,246,418,247,418,246,417,246,418,246,418,246,418,246,419,246,420,246,419,246,420,246,419,246,419,246,420,246,419,246,420,246,419,246,419,246,419,246,418,246,419,245,418,245,419,245,419,245,419,245,419,245,420,245,419,246,420,245,420,246,420,246,420,245,420,246,421,245,420,246,420,245,420,245,420,244,419,243,419,243,419,242,419,242,419,241,418,240,418,238,418,237,417,236,417,237,418,238,418,237,418,237,418,237,418,237,418,237,418,238,418,237,417,238,417,238,416,238,417,237,417,238,417,238,416,238,416,238,415,237,415,237,414,237,414,237,415,238,414,238,414,238,413,238
61,351,323,353,324,353,323,353,323,354,323,354,322,354,323,354,322,353,321,354,322,354,321,353,321,355,321,355,321,354,321,355,321,355,321,354,321,355,321,354,321,354,321,353,321,354,321,354,321,354,321,354,322,355,322,353,322,354,322,354,323,353,322,354,322,355,325,355,326,355,326,354,326,353,326,352,326,352,325,352,325,351,324,351,324,353,321,352,321,350,320,349,321,350,318,350,319,351,318,351,318,351,320,350,320,349,319,349,317,348,316,348,318,349,317,348,317,349,318,349,317,348,316,349,316,347,316,347,315,348,315,347,316,348,315,347,315,349,316,348,315,348,315,347,315
146,356,332,358,331,358,331,358,331,359,330,359,330,359,330,360,329,359,329,359,329,359,328,359,328,360,329,360,329,360,328,360,329,360,329,359,329,360,329,359,328,359,328,359,329,359,329,359,329,360,329,359,330,360,329,359,330,360,329,360,330,359,331,359,330,360,334,360,335,360,336,359,336,358,336,357,336,357,335,357,335,356,334,356,334,358,332,357,332,355,332,354,334,355,331,356,332,356,331,356,331,356,331,355,332,354,331,355,329,354,328,354,329,354,328,354,328,355,328,355,328,354,327,354,327,353,327,353,327,353,326,353,326,353,325,353,326,354,325,354,324,353,323,353,323
91,365,340,367,339,367,339,367,339,367,338,368,337,367,338,368,337,367,337,367,337,367,336,367,336,368,337,369,337,368,336,368,337,368,337,368,337,368,337,367,337,368,336,367,337,367,337,368,337,368,337,368,338,368,337,367,338,368,337,368,338,367,339,368,338,368,343,368,344,367,346,367,346,366,347,365,347,365,346,365,346,364,345,364,345,365,344,365,343,363,344,362,346,363,344,364,345,364,343,364,344,364,343,363,344,363,343,363,341,362,340,362,340,363,339,362,339,363,339,363,339,362,338,362,338,362,338,362,338,362,336,361,337,362,335,361,336,363,335,362,334,362,333,361,332
181,377,350,379,348,379,348,379,348,380,346,380,346,380,347,380,347,380,346,380,346,380,345,380,345,381,346,381,346,381,345,381,346,381,346,380,346,381,345,380,346,380,345,380,346,380,346,380,346,380,346,380,347,381,346,380,347,381,346,381,346,380,349,381,348,381,353,381,354,380,357,379,357,378,358,377,358,378,357,378,357,377,357,377,356,378,355,377,355,376,357,375,359,375,357,376,358,376,356,376,357,376,355,376,356,375,355,376,353,375,352,375,352,376,350,375,351,376,350,375,350,375,349,375,349,374,350,374,349,374,347,374,348,375,346,374,347,375,345,375,345,375,342,374,342
84,394,356,396,354,395,354,395,354,396,352,396,352,396,353,396,353,396,352,396,352,396,351,396,350,396,352,397,352,397,351,397,352,397,352,396,352,397,352,396,352,396,351,396,352,396,353,396,352,397,352,397,354,397,352,396,353,397,352,397,352,396,356,397,354,397,359,397,360,396,365,396,364,394,366,394,365,394,365,394,364,394,365,394,364,394,363,394,363,392,366,392,368,392,366,393,367,393,364,393,365,393,363,392,364,393,363,393,362,392,360,393,360,393,358,393,358,393,357,392,358,392,357,392,357,391,357,391,357,391,354,391,355,391,353,391,355,392,352,392,352,391,349,390,349
17,413,358,414,355,414,356,414,356,414,354,415,354,415,354,415,354,415,353,415,353,415,352,415,352,415,353,416,353,416,353,416,353,416,354,415,354,415,354,415,353,415,353,414,354,415,355,415,354,415,354,415,355,416,354,415,355,416,354,416,354,416,357,416,356,416,361,417,362,415,367,415,366,415,368,414,367,415,367,414,366,414,366,414,366,414,365,414,365,413,368,413,371,413,368,414,369,414,367,414,368,414,365,413,366,414,365,414,364,414,362,414,362,414,360,414,360,413,359,413,360,412,359,412,359,412,359,412,358,411,356,411,357,411,354,411,356,412,354,411,353,410,351,410,351
314,432,355,432,353,432,353,432,353,432,352,432,351,433,352,433,352,433,351,433,351,433,350,433,350,433,351,433,351,433,350,433,351,433,351,433,352,433,351,432,351,433,350,432,351,433,353,433,351,433,352,433,353,434,351,433,353,434,351,434,352,434,355,434,353,434,358,435,359,434,364,434,363,433,365,433,364,434,363,433,363,433,363,433,363,433,362,433,361,433,364,433,366,433,365,434,365,434,363,434,364,433,361,433,362,434,362,433,360,433,358,433,358,433,356,433,357,432,356,432,356,431,355,431,355,431,355,431,355,430,353,430,354,430,351,430,353,430,351,430,351,429,348,428,348
405,446,347,447,346,447,347,447,346,447,345,447,345,447,346,447,345,448,344,447,344,447,343,447,343,447,344,448,344,447,344,447,344,448,345,447,345,447,344,447,345,447,344,446,345,447,345,447,345,447,344,448,346,448,344,448,346,448,344,448,345,448,347,448,346,448,350,449,351,448,355,448,355,448,356,447,356,448,355,448,354,448,355,448,354,447,353,447,353,447,355,448,358,448,355,449,356,448,353,448,354,447,352,447,353,449,352,448,351,448,349,448,349,448,348,448,348,447,347,447,348,446,347,446,347,446,347,446,346,445,344,445,346,445,343,445,345,444,343,445,343,443,341,443,341
321,457,337,457,337,457,337,457,337,457,336,457,336,458,336,457,336,458,335,457,335,458,334,457,334,457,335,458,335,458,335,458,335,458,335,457,335,457,335,457,335,457,335,457,335,457,336,458,335,458,335,458,336,458,335,458,336,459,335,458,336,459,337,459,336,458,340,459,341,457,344,457,343,457,344,457,344,458,343,457,343,458,343,458,342,456,341,456,341,457,342,457,343,457,341,458,341,457,340,458,340,457,339,456,340,458,339,457,338,458,336,458,336,458,335,458,336,457,335,457,335,456,335,456,334,456,334,456,334,455,333,455,334,455,332,456,333,454,332,455,332,454,330,454,331
375,463,328,463,329,463,329,463,329,463,328,463,328,464,328,464,328,464,327,464,327,464,326,463,326,464,327,464,327,464,327,464,327,464,327,464,327,463,327,463,327,464,326,463,327,463,327,464,327,464,327,464,328,465,327,464,328,465,327,465,328,465,329,465,328,464,331,465,331,462,333,463,332,462,334,462,333,463,332,463,332,463,331,463,331,461,330,461,329,462,330,463,331,462,328,463,328,462,327,463,327,462,327,461,328,464,326,463,325,464,324,464,324,464,324,464,324,463,324,463,324,462,323,462,323,462,323,462,323,461,322,462,323,461,321,462,322,461,322,461,322,460,321,460,321
291,467,320,468,322,468,321,468,321,467,321,468,321,468,321,468,320,469,319,468,319,468,318,468,318,468,319,468,319,469,319,468,320,468,319,468,319,468,320,468,319,468,319,468,319,467,319,468,319,468,319,469,320,469,319,468,320,469,320,469,320,469,320,469,320,467,322,468,322,466,323,466,322,465,323,466,323,467,322,466,322,467,320,467,320,465,318,465,318,465,317,466,318,466,315,467,315,466,314,467,314,465,316,465,317,468,314,467,313,469,312,468,312,468,313,469,313,467,313,467,312,466,312,466,312,466,312,466,311,466,311,466,312,466,311,466,311,465,312,466,312,465,312,465,313
